target_acc,asm_acc
PDT001773061.1,GCA_030234465.1
PDT000432001.1,
PDT002390139.1,GCA_042146825.1
PDT002390689.1,
PDT001205889.1,
PDT000944002.1,
PDT000870189.2,
PDT000720922.1,
PDT001451579.4,
PDT001870135.2,
PDT002058914.1,
PDT000622569.3,
PDT001164051.4,
PDT000870735.1,
PDT000870216.2,
PDT000858403.1,GCA_015681195.1
PDT001083263.1,
PDT001288249.1,
PDT001244704.1,
PDT001260005.1,
PDT001259807.1,
PDT001260313.1,
PDT001259535.1,
PDT001243802.1,
PDT001227653.1,
PDT000727024.1,
PDT001315879.1,GCA_023559065.1
PDT002188844.1,
PDT000438201.1,
PDT001217232.1,
PDT001345405.1,
PDT002335680.1,
PDT000727131.1,
PDT000727183.1,
PDT000759812.1,GCA_015682655.1
PDT001667719.1,
PDT001243785.1,
PDT001610803.1,
PDT000537610.1,
PDT001216360.1,
PDT001216390.1,
PDT000926466.1,
PDT001468781.4,
PDT001164299.4,
PDT002076762.1,
PDT000589162.1,GCA_008502045.1
PDT000715356.1,
PDT002280182.1,GCA_040983215.1
PDT001288434.1,
PDT001259886.1,
PDT001259784.1,
PDT001260171.1,
PDT001260645.1,
PDT001259821.1,
PDT001244222.1,
PDT001815775.1,
PDT001915603.1,GCA_032349915.1
PDT001926780.1,
PDT002122453.1,
PDT000632598.1,
PDT001038454.1,
PDT000674977.1,
PDT000675357.1,
PDT002373042.1,
PDT001196947.1,
PDT000925016.1,
PDT000136646.2,
PDT001233338.4,
PDT001847425.2,
PDT000218011.4,
PDT001790858.2,
PDT001485151.4,
PDT000870783.1,
PDT000759836.1,GCA_015862745.1
PDT001025161.1,
PDT001219547.1,
PDT001259949.1,
PDT001386201.1,
PDT001469839.1,
PDT000439295.1,
PDT000444066.1,
PDT000438035.1,
PDT001211529.1,
PDT000943975.1,
PDT001543780.1,GCA_027267555.1
PDT001345496.1,
PDT001345397.1,
PDT001280814.5,
PDT001435150.4,
PDT001221219.4,
PDT001288219.1,
PDT001259348.1,
PDT001259429.1,
