target_acc,asm_acc
PDT002391553.1,
PDT002389791.1,GCA_042135725.1
PDT000693956.1,GCA_015498595.1
PDT000700913.1,GCA_018086645.1
PDT000701699.1,GCA_015430985.1
PDT000700808.1,GCA_015449865.1
PDT000700929.1,GCA_015447805.1
PDT000700733.1,GCA_015450705.1
PDT000694009.1,GCA_015497995.1
PDT001235228.1,GCA_021760925.1
PDT000701478.1,GCA_015432735.1
PDT001831725.1,GCA_030940265.1
PDT000702097.1,
PDT000742988.1,GCA_015368605.1
PDT000088323.2,
PDT000701544.1,GCA_015428565.1
PDT000695469.1,
PDT000702298.1,GCA_015423105.1
PDT000694212.1,
PDT000694192.1,
PDT002231071.1,GCA_040328335.1
PDT002121306.1,GCA_037477265.1
PDT000704570.1,GCA_015406005.1
PDT000741960.1,GCA_018084625.1
PDT000695101.1,
PDT002287539.1,
PDT000694593.1,
PDT000694736.1,
PDT000702374.1,GCA_015422285.1
PDT000860791.1,
PDT001472625.1,GCA_025948885.1
PDT000996716.1,GCA_017707535.1
PDT000695192.1,
PDT000861090.1,
PDT000861072.1,
PDT000696538.1,
PDT001831746.1,GCA_030925695.1
PDT000169849.2,GCA_900080105.1
PDT000741231.1,
PDT000742359.1,
PDT000742299.1,
PDT001474367.1,GCA_025980605.1
PDT000696831.1,
PDT000696061.1,
PDT001985772.1,GCA_033571815.1
PDT000436724.2,GCA_900640265.1
PDT000976565.1,GCA_017259115.1
PDT000697307.1,
PDT000697116.1,
PDT000697852.1,
PDT000698079.1,
PDT000694033.1,GCA_015497495.1
PDT001909167.1,GCA_032188675.1
PDT000697234.1,
PDT000698234.1,
PDT000698644.1,
PDT001049492.1,GCA_018531635.1
PDT001896570.1,
PDT000889186.1,
PDT001210683.1,
PDT001914278.1,
PDT000976519.1,GCA_017260015.1
PDT002287858.1,
PDT001389116.1,
PDT000976535.1,GCA_017259735.1
PDT001638206.1,GCA_028784555.1
PDT002028255.1,GCA_034371505.1
PDT002035359.1,GCA_034485325.1
PDT002289896.1,
PDT002286409.1,
PDT000747128.1,
PDT000734551.1,
PDT000742459.1,
PDT000107987.2,GCA_001562915.1
PDT001493963.1,GCA_026344215.1
PDT000339996.2,GCA_003268205.1
PDT001189483.1,
PDT001213348.1,GCA_021339115.1
PDT001189477.1,
PDT000996385.1,GCA_017710415.1
PDT002289373.1,
PDT001219209.1,
PDT002018714.1,GCA_034115145.1
PDT001896507.1,
PDT001914213.1,
PDT000698415.1,
PDT002289151.1,
PDT002289308.1,
PDT002288727.1,
PDT000699568.1,GCA_015468785.1
PDT001189526.1,
PDT002288432.1,
PDT002332649.1,
PDT000070147.2,GCA_001052485.1
PDT001177140.1,GCA_020934285.1
PDT000353041.2,GCA_003323545.1
PDT000740886.1,GCA_015396105.1
PDT002054800.1,
PDT001967510.1,GCA_033279605.1
PDT000907060.1,GCA_015769035.1
PDT000924196.1,GCA_016399945.1
PDT000913098.1,GCA_015993585.1
PDT000923967.1,GCA_016395125.1
PDT000923834.1,GCA_016392425.1
PDT000740850.2,
PDT000907086.1,GCA_015769535.1
PDT000923952.1,GCA_016394805.1
PDT000907080.1,GCA_015769435.1
PDT000924052.1,GCA_016396925.1
PDT000913132.1,GCA_015994265.1
PDT000929435.1,GCA_016531985.1
PDT000907186.1,GCA_015771565.1
PDT000705463.1,GCA_015401485.1
PDT001076981.1,GCA_019031325.1
PDT000820301.1,GCA_015357055.1
PDT000704577.1,GCA_015405885.1
PDT000745231.1,GCA_015362035.1
PDT000860360.1,GCA_015344585.1
PDT000820318.1,GCA_015349985.1
PDT000820180.1,GCA_015359215.1
PDT001095902.2,GCA_019308505.1
PDT000696263.1,
PDT001118338.1,GCA_019780485.1
PDT000976346.1,GCA_017262955.1
PDT000745227.1,
PDT000976434.1,GCA_017261475.1
PDT000291817.2,GCA_002944435.1
PDT001256680.1,GCA_022414115.1
PDT000741158.1,
PDT001200111.1,GCA_021122445.1
PDT001896601.1,
PDT001139220.1,GCA_020163295.1
PDT001213620.1,GCA_021333175.1
PDT001213424.1,GCA_021335155.1
PDT001831668.1,GCA_030941385.1
PDT001213704.1,GCA_021332275.1
PDT001213593.1,GCA_021333615.1
PDT001213431.1,GCA_021320475.1
PDT001213574.1,GCA_021338435.1
PDT001896391.1,
PDT001077011.1,GCA_019030745.1
PDT000694906.1,
PDT001176382.1,GCA_020941445.1
PDT001176894.1,GCA_020939005.1
PDT001176562.1,GCA_020929555.1
PDT001176490.1,GCA_020939805.1
PDT001177065.1,GCA_020935745.1
PDT002258331.1,
PDT002257816.1,
PDT002139046.1,GCA_038280895.1
PDT001259052.1,GCA_022464005.1
PDT001162896.1,GCA_020750855.1
PDT001163136.1,GCA_020747225.1
PDT001162988.1,GCA_020745075.1
PDT001163075.1,GCA_020748145.1
PDT001163054.1,GCA_020748665.1
PDT001659635.1,GCA_029126045.1
PDT001283436.1,GCA_022928925.1
