scientific_name,erd_group,target_acc
Enterobacter cloacae,PDS000148712.3,PDT001955740.1
Enterobacter cloacae,PDS000138653.2,PDT000747291.1
Enterobacter cloacae,PDS000039702.15,PDT000745482.1
Enterobacter cloacae,PDS000199287.1,PDT002382773.1
Enterobacter cloacae,PDS000040826.3,PDT001243343.1
Enterobacter cloacae,PDS000101609.9,PDT001244195.1
Enterobacter cloacae,PDS000102293.1,PDT001216373.1
Enterobacter cloacae,PDS000102288.1,PDT001216390.1
Enterobacter cloacae,PDS000061020.1,PDT000720922.1
Enterobacter cloacae,PDS000078391.27,PDT001091026.5
Enterobacter cloacae,PDS000148716.7,PDT001284107.1
Enterobacter cloacae,PDS000064362.14,PDT001164305.4
Enterobacter cloacae,PDS000142034.2,PDT001691140.1
Enterobacter cloacae,PDS000050801.2,PDT000589165.1
Enterobacter cloacae,PDS000098711.2,PDT001243612.1
Enterobacter cloacae,PDS000190061.1,PDT001228209.1
Enterobacter cloacae,PDS000071966.14,PDT000925135.1
Enterobacter cloacae,PDS000097492.10,PDT001519622.1
Enterobacter cloacae,PDS000106061.1,PDT001260509.1
Enterobacter cloacae,PDS000098714.2,PDT001260421.1
Enterobacter cloacae,PDS000106069.1,PDT001260033.1
Enterobacter cloacae,PDS000106062.1,PDT001259636.1
Enterobacter cloacae,PDS000102514.2,PDT001260206.1
Enterobacter cloacae,PDS000106080.1,PDT001260692.1
Enterobacter cloacae,PDS000106076.1,PDT001260240.1
Enterobacter cloacae,PDS000103134.3,PDT001244222.1
Enterobacter cloacae,PDS000153136.1,PDT001815775.1
Enterobacter cloacae,PDS000164015.1,PDT001915603.1
Enterobacter cloacae,PDS000161984.2,PDT001926780.1
Enterobacter cloacae,PDS000179630.1,PDT002122453.1
Enterobacter cloacae,PDS000040733.6,PDT000439295.1
Enterobacter cloacae,PDS000041082.1,PDT000444066.1
Enterobacter cloacae,PDS000040751.1,PDT000438037.1
Enterobacter cloacae,PDS000101945.1,PDT001211529.1
Enterobacter cloacae,PDS000079815.2,PDT000943972.1
Enterobacter cloacae,PDS000129744.1,PDT001543765.1
Enterobacter cloacae,PDS000112062.1,PDT001345499.1
Enterobacter cloacae,PDS000112060.1,PDT001345437.1
Enterobacter cloacae,PDS000112065.1,PDT001345401.1
Enterobacter cloacae,PDS000179463.1,PDT001280830.4
Enterobacter cloacae,PDS000179464.2,PDT001091079.5
Enterobacter cloacae,PDS000113988.23,PDT001744402.3
Enterobacter cloacae,PDS000108209.3,PDT001288219.1
Enterobacter cloacae,PDS000106071.1,PDT001259505.1
Enterobacter cloacae,PDS000106068.1,PDT001259429.1
Enterobacter cloacae,PDS000104434.1,PDT001243368.1
Enterobacter cloacae,PDS000103133.2,PDT001243372.1
