scientific_name,erd_group,target_acc,asm_acc
Staphylococcus aureus,PDS000069649.28,PDT001600385.1,GCA_028419905.1
Staphylococcus aureus,PDS000068789.8,PDT002033366.1,
Staphylococcus aureus,PDS000068811.1,PDT000343107.2,GCA_900483105.1
Staphylococcus aureus,PDS000111279.1,PDT001328976.1,GCA_023706785.1
Staphylococcus aureus,PDS000126168.1,PDT001506520.1,GCA_026553045.1
Staphylococcus aureus,PDS000199435.2,PDT002391816.1,
Staphylococcus aureus,PDS000199465.1,PDT002391733.1,
Staphylococcus aureus,PDS000068596.2,PDT000813897.1,GCA_009462325.1
Staphylococcus aureus,PDS000199439.2,PDT002391646.1,
Staphylococcus aureus,PDS000199463.1,PDT002391605.1,
Staphylococcus aureus,PDS000199445.2,PDT002391673.1,
Staphylococcus aureus,PDS000199436.2,PDT002391861.1,
Staphylococcus aureus,PDS000199442.2,PDT002391704.1,
Staphylococcus aureus,PDS000199434.1,PDT002391714.1,
Staphylococcus aureus,PDS000199444.2,PDT002391784.1,
Staphylococcus aureus,PDS000199464.1,PDT002391743.1,
Staphylococcus aureus,PDS000199466.1,PDT002391821.1,
Staphylococcus aureus,PDS000199438.2,PDT002391825.1,
Staphylococcus aureus,PDS000130525.1,PDT001553816.1,
Staphylococcus aureus,PDS000068799.1,PDT000343129.2,GCA_900483175.1
Staphylococcus aureus,PDS000068801.1,PDT000343120.2,GCA_900482935.1
Staphylococcus aureus,PDS000068797.2,PDT000118811.2,GCA_900044515.1
Staphylococcus aureus,PDS000111284.2,PDT001328974.1,GCA_023706745.1
Staphylococcus aureus,PDS000068820.1,PDT000335375.2,GCA_003238655.1
Staphylococcus aureus,PDS000085136.1,PDT001012256.1,GCA_018168215.1
Staphylococcus aureus,PDS000085054.1,PDT001011165.1,GCA_018135005.1
Staphylococcus aureus,PDS000085135.1,PDT001012244.1,GCA_018168415.1
Staphylococcus aureus,PDS000085137.1,PDT001011185.1,GCA_018134625.1
Staphylococcus aureus,PDS000085053.2,PDT001012253.1,GCA_018168295.1
Staphylococcus aureus,PDS000126540.12,PDT001508684.1,GCA_026607775.1
Staphylococcus aureus,PDS000199432.1,PDT002391731.1,
Staphylococcus aureus,PDS000199440.2,PDT002391736.1,
Staphylococcus aureus,PDS000199443.2,PDT002391648.1,
Staphylococcus aureus,PDS000199462.1,PDT002391755.1,
Staphylococcus aureus,PDS000199437.1,PDT002391696.1,
Staphylococcus aureus,PDS000199467.1,PDT002391715.1,
Staphylococcus aureus,PDS000199433.1,PDT002391670.1,
Staphylococcus aureus,PDS000068832.1,PDT000313796.2,GCA_003113995.1
Staphylococcus aureus,PDS000132277.4,PDT001571073.1,GCA_027832595.1
Staphylococcus aureus,PDS000144168.1,PDT001714791.1,
Staphylococcus aureus,PDS000144139.1,PDT001715895.1,GCA_033772155.1
Staphylococcus aureus,PDS000144005.1,PDT001715590.1,GCA_033778015.1
Staphylococcus aureus,PDS000144128.1,PDT001711579.1,GCA_033869075.1
Staphylococcus aureus,PDS000144133.1,PDT001715665.1,GCA_033776595.1
Staphylococcus aureus,PDS000144144.1,PDT001711562.1,GCA_032267305.1
Staphylococcus aureus,PDS000144557.1,PDT001712966.1,GCA_032221445.1
Staphylococcus aureus,PDS000144558.1,PDT001713576.1,
Staphylococcus aureus,PDS000144425.1,PDT001714092.1,
Staphylococcus aureus,PDS000144402.1,PDT001711688.1,GCA_033868135.1
Staphylococcus aureus,PDS000144372.1,PDT001715286.1,
Staphylococcus aureus,PDS000144349.1,PDT001714079.1,
Staphylococcus aureus,PDS000144329.1,PDT001713030.1,GCA_032220845.1
Staphylococcus aureus,PDS000144300.1,PDT001714477.1,
Staphylococcus aureus,PDS000144066.1,PDT001715687.1,GCA_033776175.1
Staphylococcus aureus,PDS000144180.1,PDT001713086.1,GCA_032220325.1
Staphylococcus aureus,PDS000068558.4,PDT000361401.2,GCA_003076115.1
Staphylococcus aureus,PDS000144536.1,PDT001715717.1,GCA_033775595.1
Staphylococcus aureus,PDS000144528.1,PDT001715137.1,
Staphylococcus aureus,PDS000144496.1,PDT001714773.1,
Staphylococcus aureus,PDS000144092.1,PDT001711977.1,
Staphylococcus aureus,PDS000144540.1,PDT001714715.1,
Staphylococcus aureus,PDS000144103.1,PDT001715612.1,GCA_033777575.1
Staphylococcus aureus,PDS000144281.1,PDT001713084.1,GCA_033823505.1
Staphylococcus aureus,PDS000144169.1,PDT001714972.1,
Staphylococcus aureus,PDS000144289.1,PDT001711673.1,GCA_032266355.1
Staphylococcus aureus,PDS000144440.1,PDT001715411.1,GCA_033781035.1
Staphylococcus aureus,PDS000144453.1,PDT001714740.1,
Staphylococcus aureus,PDS000144338.1,PDT001715785.1,GCA_033774235.1
Staphylococcus aureus,PDS000144015.1,PDT001714487.1,
Staphylococcus aureus,PDS000144421.1,PDT001711646.1,GCA_033870795.1
Staphylococcus aureus,PDS000144151.1,PDT001713248.1,
Staphylococcus aureus,PDS000144039.1,PDT001712051.1,GCA_033846745.1
Staphylococcus aureus,PDS000069345.1,PDT000132999.2,GCA_900082645.1
Staphylococcus aureus,PDS000069819.2,PDT000670379.2,GCA_902717705.1
Staphylococcus aureus,PDS000069192.5,PDT000805100.2,GCA_903988875.1
Staphylococcus aureus,PDS000134415.4,PDT001546398.1,GCA_027282765.1
Staphylococcus aureus,PDS000134426.2,PDT001546015.1,GCA_027290625.1
Staphylococcus aureus,PDS000068570.3,PDT001545864.1,GCA_027294845.1
Staphylococcus aureus,PDS000128607.1,PDT001532457.1,GCA_027134315.1
Staphylococcus aureus,PDS000128491.1,PDT001533030.1,GCA_027117975.1
Staphylococcus aureus,PDS000128654.1,PDT001532392.1,GCA_027135615.1
Staphylococcus aureus,PDS000128423.1,PDT001532284.1,GCA_027138415.1
Staphylococcus aureus,PDS000069778.3,PDT000119408.2,GCA_900041155.1
Staphylococcus aureus,PDS000069386.9,PDT001527913.1,
Staphylococcus aureus,PDS000069405.11,PDT001568687.1,GCA_027779245.1
Staphylococcus aureus,PDS000068038.1,PDT000118799.2,GCA_900039675.1
Staphylococcus aureus,PDS000126759.1,PDT001511378.1,GCA_026636535.1
Staphylococcus aureus,PDS000130664.3,PDT001554867.1,GCA_027509045.1
Staphylococcus aureus,PDS000131979.2,PDT002041525.1,
Staphylococcus aureus,PDS000170979.2,PDT002041597.1,
Staphylococcus aureus,PDS000127437.5,PDT001544499.1,
Staphylococcus aureus,PDS000133373.2,PDT001579095.1,
Staphylococcus aureus,PDS000130523.1,PDT001554660.1,GCA_027513205.1
Staphylococcus aureus,PDS000068725.4,PDT001557281.1,
Staphylococcus aureus,PDS000144312.3,PDT001541182.1,GCA_027210665.1
Staphylococcus aureus,PDS000129554.1,PDT001541367.1,GCA_027210525.1
Staphylococcus aureus,PDS000129363.2,PDT001541255.1,GCA_027213535.1
Staphylococcus aureus,PDS000130639.1,PDT001553488.1,
Staphylococcus aureus,PDS000130587.1,PDT001554421.1,GCA_027517985.1
Staphylococcus aureus,PDS000130538.2,PDT001553421.1,
Staphylococcus aureus,PDS000130479.1,PDT001553232.1,GCA_027534335.1
Staphylococcus aureus,PDS000130598.1,PDT001554164.1,GCA_027523105.1
Staphylococcus aureus,PDS000070000.7,PDT001554192.1,GCA_027522545.1
Staphylococcus aureus,PDS000120786.11,PDT001554976.1,GCA_027506905.1
Staphylococcus aureus,PDS000130608.1,PDT001553360.1,
Staphylococcus aureus,PDS000126452.5,PDT001553061.1,GCA_027547025.1
Staphylococcus aureus,PDS000137815.5,PDT001645839.1,
Staphylococcus aureus,PDS000137807.1,PDT001646275.1,GCA_028910035.1
Staphylococcus aureus,PDS000069795.2,PDT000670267.2,GCA_902716585.1
Staphylococcus aureus,PDS000069799.1,PDT000681574.2,GCA_902720325.1
Staphylococcus aureus,PDS000077108.1,PDT000907570.1,
Staphylococcus aureus,PDS000077107.1,PDT000907793.1,
Staphylococcus aureus,PDS000077104.2,PDT000907378.1,
Staphylococcus aureus,PDS000125688.2,PDT001499134.4,GCA_026472205.1
Staphylococcus aureus,PDS000069185.2,PDT000037659.2,GCA_000731395.1
Staphylococcus aureus,PDS000129120.2,PDT001536944.1,GCA_027005155.1
Staphylococcus aureus,PDS000068817.2,PDT000361636.2,GCA_900458335.1
Staphylococcus aureus,PDS000068724.14,PDT001607489.1,GCA_028513175.1
Staphylococcus aureus,PDS000137832.1,PDT001556100.1,GCA_027546385.1
Staphylococcus aureus,PDS000137818.1,PDT001556149.1,GCA_027545345.1
Staphylococcus aureus,PDS000067777.26,PDT001579258.1,
Staphylococcus aureus,PDS000126306.1,PDT001506980.1,
Staphylococcus aureus,PDS000126296.1,PDT001506897.1,
Staphylococcus aureus,PDS000126275.11,PDT001506788.1,
Staphylococcus aureus,PDS000135247.1,PDT001598491.1,GCA_028368675.1
Staphylococcus aureus,PDS000067851.1,PDT000444208.1,GCA_015604985.1
Staphylococcus aureus,PDS000067848.1,PDT000444209.1,GCA_015606425.1
Staphylococcus aureus,PDS000067939.7,PDT000811042.1,
Staphylococcus aureus,PDS000067818.3,PDT000811285.1,
Staphylococcus aureus,PDS000067922.1,PDT000810439.1,
Staphylococcus aureus,PDS000067933.1,PDT000810427.1,
Staphylococcus aureus,PDS000067813.2,PDT000811064.1,
Staphylococcus aureus,PDS000067944.2,PDT000812047.1,
Staphylococcus aureus,PDS000067826.1,PDT000811186.1,
Staphylococcus aureus,PDS000068001.3,PDT000811175.1,
Staphylococcus aureus,PDS000068007.3,PDT000812313.1,
Staphylococcus aureus,PDS000172598.1,PDT002064038.1,
Staphylococcus aureus,PDS000135117.5,PDT001597443.1,GCA_028314465.1
Staphylococcus aureus,PDS000134915.1,PDT001596274.1,GCA_028260405.1
Staphylococcus aureus,PDS000120971.2,PDT001454651.1,GCA_025722175.1
Staphylococcus aureus,PDS000140344.1,PDT001669672.1,GCA_029386705.1
Staphylococcus aureus,PDS000140349.1,PDT001669743.1,GCA_029385495.1
Staphylococcus aureus,PDS000136749.1,PDT001616677.1,GCA_028666115.1
Staphylococcus aureus,PDS000145003.1,PDT001720404.1,GCA_033709035.1
Staphylococcus aureus,PDS000143979.2,PDT000090435.2,GCA_001351795.1
Staphylococcus aureus,PDS000126753.1,PDT001511545.1,GCA_026633165.1
Staphylococcus aureus,PDS000126748.1,PDT001511107.1,GCA_026641715.1
Staphylococcus aureus,PDS000068016.5,PDT001572128.1,GCA_027847295.1
Staphylococcus aureus,PDS000126682.1,PDT001511080.1,GCA_026642895.1
Staphylococcus aureus,PDS000126764.2,PDT001511192.1,GCA_026639975.1
Staphylococcus aureus,PDS000153196.1,PDT001815839.1,
Staphylococcus aureus,PDS000128194.1,PDT001528953.1,GCA_026942515.1
Staphylococcus aureus,PDS000128187.1,PDT001528960.1,GCA_026944265.1
Staphylococcus aureus,PDS000128142.1,PDT001529025.1,GCA_026950465.1
Staphylococcus aureus,PDS000069382.1,PDT000790652.2,GCA_903805575.1
Staphylococcus aureus,PDS000069409.2,PDT000772650.2,GCA_903802835.1
Staphylococcus aureus,PDS000069340.3,PDT000791026.2,GCA_903807685.1
Staphylococcus aureus,PDS000069486.2,PDT001713662.1,
Staphylococcus aureus,PDS000069352.4,PDT001572192.1,GCA_027847595.1
Staphylococcus aureus,PDS000129758.5,PDT001544383.1,
Staphylococcus aureus,PDS000130020.1,PDT001548167.1,
Staphylococcus aureus,PDS000130015.1,PDT001548026.1,
Staphylococcus aureus,PDS000133777.1,PDT001582710.1,
Staphylococcus aureus,PDS000133770.1,PDT001582760.1,
Staphylococcus aureus,PDS000130954.2,PDT001591253.1,
Staphylococcus aureus,PDS000134424.1,PDT001591278.1,
Staphylococcus aureus,PDS000067983.41,PDT001517043.1,GCA_026747195.1
Staphylococcus aureus,PDS000093127.3,PDT000184783.2,GCA_015611505.2
Staphylococcus aureus,PDS000134224.1,PDT001589680.1,
Staphylococcus aureus,PDS000128591.1,PDT001533906.1,
Staphylococcus aureus,PDS000133238.1,PDT001574130.1,
Staphylococcus aureus,PDS000133134.1,PDT001573985.1,
Staphylococcus aureus,PDS000135630.1,PDT001601956.1,GCA_028458785.1
Staphylococcus aureus,PDS000129169.4,PDT001539282.1,
Staphylococcus aureus,PDS000129284.1,PDT001539273.1,
Staphylococcus aureus,PDS000135364.4,PDT001601639.1,GCA_028451445.1
Staphylococcus aureus,PDS000143913.1,PDT001710730.1,
Staphylococcus aureus,PDS000143899.1,PDT001710669.1,
Staphylococcus aureus,PDS000143883.1,PDT001710792.1,
