scientific_name,erd_group,target_acc
Acinetobacter baumannii,PDS000054541.4,PDT001453699.1
Acinetobacter baumannii,PDS000126125.2,PDT001505507.1
Acinetobacter baumannii,PDS000140986.3,PDT001673415.2
Acinetobacter baumannii,PDS000195228.8,PDT000046728.3
Acinetobacter baumannii,PDS000198649.4,PDT001614428.3
Acinetobacter baumannii,PDS000199352.1,PDT001580155.1
Acinetobacter baumannii,PDS000199353.1,PDT001242751.2
Acinetobacter baumannii,PDS000199354.1,PDT002392234.1
Acinetobacter baumannii,PDS000131686.99,PDT001164067.3
Acinetobacter baumannii,PDS000153170.38,PDT000746069.1
Acinetobacter baumannii,PDS000175366.77,PDT002167763.1
Acinetobacter baumannii,PDS000075983.196,PDT002129724.1
Acinetobacter baumannii,PDS000084878.134,PDT002381705.1
Acinetobacter baumannii,PDS000005658.31,PDT002391593.1
Acinetobacter baumannii,PDS000178653.14,PDT000725279.3
Acinetobacter baumannii,PDS000075639.65,PDT001505696.1
Acinetobacter baumannii,PDS000083245.33,PDT002097977.1
Acinetobacter baumannii,PDS000084236.40,PDT001106431.3
Acinetobacter baumannii,PDS000174647.69,PDT001689334.3
Acinetobacter baumannii,PDS000131688.25,PDT000928467.3
Acinetobacter baumannii,PDS000199357.1,PDT002391608.1
Acinetobacter baumannii,PDS000074250.14,PDT000947573.3
Acinetobacter baumannii,PDS000126134.19,PDT002174516.1
Acinetobacter baumannii,PDS000055390.32,PDT002239518.1
Acinetobacter baumannii,PDS000199351.1,PDT000868658.3
Acinetobacter baumannii,PDS000092806.6,PDT000173855.2
Acinetobacter baumannii,PDS000023316.18,PDT001009193.1
Acinetobacter baumannii,PDS000181351.3,PDT002130232.1
Acinetobacter baumannii,PDS000120624.40,PDT001264611.3
Acinetobacter baumannii,PDS000036961.4,PDT000387362.1
Acinetobacter baumannii,PDS000199358.1,PDT001435632.1
Acinetobacter baumannii,PDS000198643.3,PDT000908007.3
Acinetobacter baumannii,PDS000066891.47,PDT001866911.1
Acinetobacter baumannii,PDS000113802.4,PDT000863622.1
Acinetobacter baumannii,PDS000117808.2,PDT001506231.1
Acinetobacter baumannii,PDS000136522.21,PDT001907000.2
Acinetobacter baumannii,PDS000119572.2,PDT001435617.1
Acinetobacter baumannii,PDS000107408.41,PDT001618638.3
Acinetobacter baumannii,PDS000189905.2,PDT002113727.1
Acinetobacter baumannii,PDS000173477.6,PDT001090223.3
Acinetobacter baumannii,PDS000199356.1,PDT002391683.1
Acinetobacter baumannii,PDS000198647.1,PDT001283660.1
Acinetobacter baumannii,PDS000195227.1,PDT000114328.2
Acinetobacter baumannii,PDS000055405.23,PDT002126381.1
Acinetobacter baumannii,PDS000179982.1,PDT002126232.1
Acinetobacter baumannii,PDS000150695.1,PDT000660233.1
Acinetobacter baumannii,PDS000060515.2,PDT001603021.1
Acinetobacter baumannii,PDS000039598.1,PDT000424045.1
Acinetobacter baumannii,PDS000005399.24,PDT000354486.1
Acinetobacter baumannii,PDS000055421.1,PDT000659982.1
Acinetobacter baumannii,PDS000179978.1,PDT001225612.1
Acinetobacter baumannii,PDS000053775.7,PDT002126361.1
Acinetobacter baumannii,PDS000053901.1,PDT000634106.1
Acinetobacter baumannii,PDS000053770.6,PDT002126679.1
Acinetobacter baumannii,PDS000075638.3,PDT000884958.1
Acinetobacter baumannii,PDS000100317.1,PDT001192412.1
Acinetobacter baumannii,PDS000122207.2,PDT001191500.1
Acinetobacter baumannii,PDS000199039.1,PDT000711780.1
Acinetobacter baumannii,PDS000079853.5,PDT001824784.1
Acinetobacter baumannii,PDS000100013.4,PDT000683313.1
Acinetobacter baumannii,PDS000076298.87,PDT000173812.3
Acinetobacter baumannii,PDS000179985.7,PDT000659883.1
Acinetobacter baumannii,PDS000139874.2,PDT001665432.1
Acinetobacter baumannii,PDS000076294.21,PDT001688615.1
Acinetobacter baumannii,PDS000188188.6,PDT000238077.1
Acinetobacter baumannii,PDS000005662.11,PDT000107131.2
Acinetobacter baumannii,PDS000196755.1,PDT002362301.1
Acinetobacter baumannii,PDS000112894.22,PDT001675996.3
Acinetobacter baumannii,PDS000109741.28,PDT002317129.1
Acinetobacter baumannii,PDS000192478.1,PDT001645623.3
Acinetobacter baumannii,PDS000148753.77,PDT001274841.3
Acinetobacter baumannii,PDS000106375.27,PDT001278719.3
Acinetobacter baumannii,PDS000055375.7,PDT000659370.1
Acinetobacter baumannii,PDS000055426.38,PDT001544190.3
Acinetobacter baumannii,PDS000076706.98,PDT002277191.1
Acinetobacter baumannii,PDS000179355.1,PDT001281117.3
Acinetobacter baumannii,PDS000098632.28,PDT002045988.1
Acinetobacter baumannii,PDS000062502.95,PDT001670850.3
Acinetobacter baumannii,PDS000170122.30,PDT000191246.1
Acinetobacter baumannii,PDS000120224.7,PDT002152120.1
Acinetobacter baumannii,PDS000074318.42,PDT001067664.3
Acinetobacter baumannii,PDS000152249.5,PDT000985234.3
Acinetobacter baumannii,PDS000047356.69,PDT001505760.1
Acinetobacter baumannii,PDS000097381.29,PDT001860353.1
Acinetobacter baumannii,PDS000098005.3,PDT001163987.3
Acinetobacter baumannii,PDS000101625.22,PDT001377779.3
Acinetobacter baumannii,PDS000114091.13,PDT001791308.2
Acinetobacter baumannii,PDS000152250.4,PDT000928408.3
Acinetobacter baumannii,PDS000075027.75,PDT001962540.2
Acinetobacter baumannii,PDS000167001.7,PDT000821504.3
Acinetobacter baumannii,PDS000116420.23,PDT001456631.3
Acinetobacter baumannii,PDS000156121.23,PDT000821576.3
