scientific_name,erd_group,target_acc
Pseudomonas aeruginosa,PDS000040829.31,PDT000441999.1
Pseudomonas aeruginosa,PDS000063721.43,PDT001737665.1
Pseudomonas aeruginosa,PDS000129087.22,PDT001474612.3
Pseudomonas aeruginosa,PDS000199411.1,PDT002391574.1
Pseudomonas aeruginosa,PDS000093297.24,PDT001994235.1
Pseudomonas aeruginosa,PDS000199412.1,PDT002391634.1
Pseudomonas aeruginosa,PDS000199409.1,PDT002391164.1
Pseudomonas aeruginosa,PDS000075445.161,PDT002174100.1
Pseudomonas aeruginosa,PDS000184172.2,PDT001794262.2
Pseudomonas aeruginosa,PDS000199414.1,PDT002391801.1
Pseudomonas aeruginosa,PDS000199413.1,PDT002391620.1
Pseudomonas aeruginosa,PDS000199288.1,PDT002390293.1
Pseudomonas aeruginosa,PDS000199289.1,PDT002390292.1
Pseudomonas aeruginosa,PDS000101958.1,PDT001211438.1
Pseudomonas aeruginosa,PDS000167545.6,PDT001344362.1
Pseudomonas aeruginosa,PDS000040831.2,PDT000753993.1
Pseudomonas aeruginosa,PDS000063985.12,PDT000756395.1
Pseudomonas aeruginosa,PDS000047532.14,PDT000173047.1
Pseudomonas aeruginosa,PDS000064618.1,PDT000768340.1
Pseudomonas aeruginosa,PDS000064609.1,PDT000768353.1
Pseudomonas aeruginosa,PDS000010406.24,PDT002113544.1
Pseudomonas aeruginosa,PDS000064437.1,PDT000767636.1
Pseudomonas aeruginosa,PDS000063755.4,PDT000767701.1
Pseudomonas aeruginosa,PDS000112090.130,PDT002299658.1
Pseudomonas aeruginosa,PDS000040849.2,PDT000442612.1
Pseudomonas aeruginosa,PDS000040835.1,PDT000442578.1
Pseudomonas aeruginosa,PDS000025712.6,PDT000522894.1
Pseudomonas aeruginosa,PDS000010403.11,PDT002245743.1
Pseudomonas aeruginosa,PDS000064912.1,PDT000771357.1
Pseudomonas aeruginosa,PDS000047556.16,PDT000883496.1
Pseudomonas aeruginosa,PDS000063216.14,PDT000923475.1
Pseudomonas aeruginosa,PDS000100299.1,PDT001194244.1
Pseudomonas aeruginosa,PDS000122276.2,PDT000885762.1
Pseudomonas aeruginosa,PDS000122277.1,PDT001191516.1
Pseudomonas aeruginosa,PDS000051136.9,PDT000595451.1
Pseudomonas aeruginosa,PDS000112264.1,PDT001346365.1
Pseudomonas aeruginosa,PDS000115688.1,PDT001388187.1
Pseudomonas aeruginosa,PDS000063736.25,PDT001737658.1
Pseudomonas aeruginosa,PDS000114547.1,PDT001372801.1
Pseudomonas aeruginosa,PDS000113827.2,PDT001358080.1
Pseudomonas aeruginosa,PDS000145317.1,PDT000767753.1
Pseudomonas aeruginosa,PDS000122202.1,PDT001474957.1
Pseudomonas aeruginosa,PDS000124894.1,PDT001492974.1
Pseudomonas aeruginosa,PDS000146233.1,PDT001737587.1
Pseudomonas aeruginosa,PDS000063724.6,PDT000753516.1
Pseudomonas aeruginosa,PDS000051135.66,PDT001113454.1
Pseudomonas aeruginosa,PDS000169587.2,PDT002023222.1
Pseudomonas aeruginosa,PDS000169350.2,PDT002027706.1
Pseudomonas aeruginosa,PDS000169541.2,PDT002026853.1
Pseudomonas aeruginosa,PDS000169393.2,PDT002028924.1
Pseudomonas aeruginosa,PDS000169391.2,PDT002027447.1
Pseudomonas aeruginosa,PDS000169408.2,PDT002021201.1
Pseudomonas aeruginosa,PDS000169396.2,PDT002027523.1
Pseudomonas aeruginosa,PDS000169591.2,PDT002023003.1
Pseudomonas aeruginosa,PDS000169597.2,PDT002023371.1
Pseudomonas aeruginosa,PDS000169774.1,PDT002021341.1
Pseudomonas aeruginosa,PDS000169353.2,PDT002021349.1
Pseudomonas aeruginosa,PDS000169420.3,PDT002027769.1
Pseudomonas aeruginosa,PDS000169576.1,PDT002022378.1
Pseudomonas aeruginosa,PDS000169625.2,PDT002022947.1
Pseudomonas aeruginosa,PDS000169369.2,PDT002027620.1
Pseudomonas aeruginosa,PDS000169623.2,PDT002030198.1
Pseudomonas aeruginosa,PDS000169386.2,PDT002021501.1
Pseudomonas aeruginosa,PDS000169581.2,PDT002023281.1
Pseudomonas aeruginosa,PDS000169363.2,PDT002021294.1
Pseudomonas aeruginosa,PDS000169346.2,PDT002027503.1
Pseudomonas aeruginosa,PDS000169361.2,PDT002021212.1
Pseudomonas aeruginosa,PDS000169598.2,PDT002023400.1
Pseudomonas aeruginosa,PDS000169347.2,PDT002027737.1
Pseudomonas aeruginosa,PDS000195243.1,PDT002347000.1
Pseudomonas aeruginosa,PDS000169421.2,PDT002027765.1
Pseudomonas aeruginosa,PDS000169388.4,PDT002023344.1
Pseudomonas aeruginosa,PDS000169610.2,PDT002023140.1
Pseudomonas aeruginosa,PDS000169416.2,PDT002021127.1
Pseudomonas aeruginosa,PDS000169768.1,PDT002026782.1
Pseudomonas aeruginosa,PDS000182495.1,PDT002164314.1
Pseudomonas aeruginosa,PDS000182471.1,PDT000045108.1
Pseudomonas aeruginosa,PDS000182472.1,PDT002164352.1
Pseudomonas aeruginosa,PDS000182505.1,PDT000045101.1
Pseudomonas aeruginosa,PDS000010447.2,PDT000045337.1
Pseudomonas aeruginosa,PDS000182575.1,PDT002164424.1
Pseudomonas aeruginosa,PDS000182515.1,PDT000045166.1
Pseudomonas aeruginosa,PDS000171120.1,PDT002043253.1
Pseudomonas aeruginosa,PDS000182723.1,PDT002165062.1
Pseudomonas aeruginosa,PDS000051138.10,PDT001346583.1
Pseudomonas aeruginosa,PDS000037627.2,PDT000392028.1
Pseudomonas aeruginosa,PDS000182527.1,PDT002164232.1
Pseudomonas aeruginosa,PDS000117121.3,PDT000771068.1
Pseudomonas aeruginosa,PDS000010344.2,PDT000045319.1
Pseudomonas aeruginosa,PDS000182543.1,PDT002164110.1
Pseudomonas aeruginosa,PDS000182507.1,PDT002164279.1
Pseudomonas aeruginosa,PDS000182547.1,PDT002164106.1
Pseudomonas aeruginosa,PDS000010432.11,PDT000068259.1
Pseudomonas aeruginosa,PDS000047548.10,PDT000424264.1
Pseudomonas aeruginosa,PDS000149177.4,PDT001593359.1
Pseudomonas aeruginosa,PDS000156603.4,PDT001861119.2
Pseudomonas aeruginosa,PDS000179469.1,PDT001203055.4
Pseudomonas aeruginosa,PDS000179495.1,PDT001207525.4
Pseudomonas aeruginosa,PDS000063215.7,PDT000745672.1
Pseudomonas aeruginosa,PDS000092197.20,PDT001766531.1
Pseudomonas aeruginosa,PDS000156600.6,PDT001826063.3
Pseudomonas aeruginosa,PDS000066144.26,PDT001487473.3
Pseudomonas aeruginosa,PDS000168098.10,PDT001071583.3
Pseudomonas aeruginosa,PDS000067058.68,PDT001810469.2
Pseudomonas aeruginosa,PDS000098115.20,PDT001226453.4
Pseudomonas aeruginosa,PDS000141397.10,PDT001739870.2
Pseudomonas aeruginosa,PDS000054886.88,PDT001192507.1
Pseudomonas aeruginosa,PDS000161664.4,PDT001831912.2
Pseudomonas aeruginosa,PDS000156456.5,PDT002320740.1
Pseudomonas aeruginosa,PDS000152215.4,PDT001845282.2
Pseudomonas aeruginosa,PDS000161993.4,PDT002036932.1
Pseudomonas aeruginosa,PDS000010321.1,PDT000083923.1
Pseudomonas aeruginosa,PDS000038902.1,PDT000411773.1
Pseudomonas aeruginosa,PDS000044224.1,PDT000483016.1
Pseudomonas aeruginosa,PDS000016058.14,PDT000243163.1
Pseudomonas aeruginosa,PDS000016329.4,PDT000248989.1
Pseudomonas aeruginosa,PDS000010328.3,PDT000167080.1
Pseudomonas aeruginosa,PDS000047940.58,PDT001475470.1
Pseudomonas aeruginosa,PDS000167284.2,PDT001997849.1
Pseudomonas aeruginosa,PDS000047535.4,PDT001363454.1
Pseudomonas aeruginosa,PDS000078025.1,PDT000923225.1
Pseudomonas aeruginosa,PDS000167577.1,PDT001994255.1
Pseudomonas aeruginosa,PDS000167322.1,PDT001993996.1
Pseudomonas aeruginosa,PDS000167349.1,PDT001993826.1
Pseudomonas aeruginosa,PDS000167553.1,PDT001997053.1
Pseudomonas aeruginosa,PDS000167353.2,PDT001997542.1
Pseudomonas aeruginosa,PDS000167326.1,PDT001994501.1
Pseudomonas aeruginosa,PDS000112421.1,PDT001348687.1
Pseudomonas aeruginosa,PDS000016872.7,PDT001278551.1
Pseudomonas aeruginosa,PDS000112279.3,PDT001406420.1
Pseudomonas aeruginosa,PDS000112258.2,PDT001406396.1
Pseudomonas aeruginosa,PDS000092761.2,PDT001087587.1
Pseudomonas aeruginosa,PDS000101674.1,PDT001210863.1
Pseudomonas aeruginosa,PDS000112169.1,PDT001346964.1
Pseudomonas aeruginosa,PDS000064591.30,PDT001203173.4
Pseudomonas aeruginosa,PDS000064442.1,PDT000767844.1
Pseudomonas aeruginosa,PDS000064438.1,PDT000767834.1
Pseudomonas aeruginosa,PDS000010334.8,PDT000795062.1
Pseudomonas aeruginosa,PDS000063744.3,PDT000753305.1
Pseudomonas aeruginosa,PDS000063725.2,PDT000753474.1
Pseudomonas aeruginosa,PDS000075629.1,PDT000888347.1
Pseudomonas aeruginosa,PDS000150580.1,PDT001788351.1
Pseudomonas aeruginosa,PDS000073929.1,PDT000866384.1
Pseudomonas aeruginosa,PDS000095369.7,PDT001127811.1
Pseudomonas aeruginosa,PDS000095640.35,PDT001363114.1
Pseudomonas aeruginosa,PDS000015070.25,PDT001210103.1
Pseudomonas aeruginosa,PDS000102759.1,PDT001221912.1
Pseudomonas aeruginosa,PDS000140008.6,PDT001024391.1
Pseudomonas aeruginosa,PDS000082088.2,PDT000771066.1
Pseudomonas aeruginosa,PDS000010307.71,PDT000720787.1
Pseudomonas aeruginosa,PDS000141687.1,PDT001687129.1
Pseudomonas aeruginosa,PDS000107895.6,PDT002280905.1
Pseudomonas aeruginosa,PDS000108000.1,PDT001286360.1
Pseudomonas aeruginosa,PDS000141590.2,PDT001684581.1
Pseudomonas aeruginosa,PDS000112035.8,PDT001342740.1
Pseudomonas aeruginosa,PDS000112242.1,PDT001346349.1
Pseudomonas aeruginosa,PDS000118130.3,PDT001422905.1
Pseudomonas aeruginosa,PDS000012474.54,PDT002337616.1
Pseudomonas aeruginosa,PDS000112391.3,PDT001349626.1
Pseudomonas aeruginosa,PDS000112168.2,PDT001343930.1
Pseudomonas aeruginosa,PDS000108627.4,PDT001343785.1
Pseudomonas aeruginosa,PDS000077993.4,PDT001343615.1
Pseudomonas aeruginosa,PDS000112126.4,PDT001257914.3
Pseudomonas aeruginosa,PDS000108562.3,PDT001294442.1
Pseudomonas aeruginosa,PDS000119665.1,PDT000768497.2
Pseudomonas aeruginosa,PDS000111734.1,PDT001337218.1
Pseudomonas aeruginosa,PDS000039614.5,PDT001395227.2
Pseudomonas aeruginosa,PDS000134549.1,PDT001593600.1
Pseudomonas aeruginosa,PDS000134567.2,PDT001593667.1
Pseudomonas aeruginosa,PDS000064026.12,PDT000759792.1
Pseudomonas aeruginosa,PDS000063878.6,PDT001346688.1
Pseudomonas aeruginosa,PDS000152214.2,PDT002320742.1
Pseudomonas aeruginosa,PDS000117713.1,PDT001413347.1
Pseudomonas aeruginosa,PDS000117678.1,PDT001413969.1
Pseudomonas aeruginosa,PDS000047508.47,PDT000759685.1
Pseudomonas aeruginosa,PDS000188222.1,PDT002249313.1
Pseudomonas aeruginosa,PDS000167277.9,PDT001593584.1
Pseudomonas aeruginosa,PDS000157329.1,PDT001729231.1
Pseudomonas aeruginosa,PDS000145583.2,PDT001730395.1
Pseudomonas aeruginosa,PDS000154741.3,PDT001897906.1
Pseudomonas aeruginosa,PDS000154746.3,PDT001897956.1
Pseudomonas aeruginosa,PDS000159463.1,PDT001894062.1
Pseudomonas aeruginosa,PDS000170537.1,PDT002035284.1
Pseudomonas aeruginosa,PDS000157961.1,PDT001877389.1
Pseudomonas aeruginosa,PDS000157972.1,PDT001877373.1
Pseudomonas aeruginosa,PDS000048888.4,PDT001877507.1
Pseudomonas aeruginosa,PDS000157969.1,PDT001877439.1
Pseudomonas aeruginosa,PDS000193999.1,PDT002331262.1
Pseudomonas aeruginosa,PDS000161873.1,PDT001925399.1
Pseudomonas aeruginosa,PDS000156341.1,PDT000218728.1
Pseudomonas aeruginosa,PDS000112045.11,PDT001861813.1
Pseudomonas aeruginosa,PDS000159472.2,PDT001894118.1
Pseudomonas aeruginosa,PDS000171780.1,PDT002055233.1
Pseudomonas aeruginosa,PDS000192880.1,PDT002320011.1
Pseudomonas aeruginosa,PDS000134578.2,PDT002319852.1
Pseudomonas aeruginosa,PDS000192883.1,PDT002319903.1
Pseudomonas aeruginosa,PDS000112109.7,PDT001782309.2
Pseudomonas aeruginosa,PDS000171130.1,PDT002014317.1
Pseudomonas aeruginosa,PDS000179680.1,PDT002122362.1
Pseudomonas aeruginosa,PDS000179681.1,PDT002122467.1
Pseudomonas aeruginosa,PDS000112093.3,PDT001343984.1
Pseudomonas aeruginosa,PDS000112100.2,PDT001344005.1
Pseudomonas aeruginosa,PDS000193002.1,PDT002320753.1
Pseudomonas aeruginosa,PDS000160762.5,PDT001852006.2
Pseudomonas aeruginosa,PDS000023156.2,PDT002148636.1
Pseudomonas aeruginosa,PDS000181809.1,PDT002155834.1
Pseudomonas aeruginosa,PDS000189903.2,PDT002280894.1
Pseudomonas aeruginosa,PDS000053880.3,PDT000771287.1
Pseudomonas aeruginosa,PDS000101949.1,PDT001211461.1
Pseudomonas aeruginosa,PDS000063743.1,PDT000754260.1
Pseudomonas aeruginosa,PDS000063729.1,PDT000754253.1
Pseudomonas aeruginosa,PDS000063740.2,PDT000754033.1
Pseudomonas aeruginosa,PDS000063750.1,PDT000754050.1
Pseudomonas aeruginosa,PDS000063998.1,PDT000756433.1
Pseudomonas aeruginosa,PDS000063981.3,PDT000756415.1
Pseudomonas aeruginosa,PDS000010330.3,PDT000172801.1
Pseudomonas aeruginosa,PDS000010297.33,PDT001577934.1
Pseudomonas aeruginosa,PDS000047529.4,PDT000172850.1
Pseudomonas aeruginosa,PDS000064598.4,PDT000768348.1
Pseudomonas aeruginosa,PDS000063220.3,PDT000771308.1
Pseudomonas aeruginosa,PDS000171008.1,PDT002042810.1
Pseudomonas aeruginosa,PDS000099996.1,PDT001193105.1
Pseudomonas aeruginosa,PDS000052679.15,PDT000747219.1
Pseudomonas aeruginosa,PDS000122262.3,PDT002208549.1
Pseudomonas aeruginosa,PDS000051143.2,PDT000595487.1
Pseudomonas aeruginosa,PDS000063865.2,PDT000202588.2
Pseudomonas aeruginosa,PDS000064660.1,PDT000755548.1
Pseudomonas aeruginosa,PDS000012377.3,PDT000755578.1
Pseudomonas aeruginosa,PDS000063875.5,PDT000755631.1
Pseudomonas aeruginosa,PDS000051147.1,PDT000595532.1
Pseudomonas aeruginosa,PDS000100575.1,PDT001196989.1
Pseudomonas aeruginosa,PDS000113830.4,PDT001371347.1
Pseudomonas aeruginosa,PDS000122198.1,PDT001474951.1
Pseudomonas aeruginosa,PDS000124897.1,PDT001495348.1
Pseudomonas aeruginosa,PDS000053766.39,PDT001280614.3
Pseudomonas aeruginosa,PDS000146229.2,PDT001737626.1
Pseudomonas aeruginosa,PDS000169402.3,PDT002026985.1
Pseudomonas aeruginosa,PDS000169557.3,PDT002023322.1
Pseudomonas aeruginosa,PDS000169560.1,PDT002022911.1
Pseudomonas aeruginosa,PDS000169366.2,PDT002021233.1
Pseudomonas aeruginosa,PDS000169351.2,PDT002027697.1
Pseudomonas aeruginosa,PDS000169539.1,PDT002023661.1
Pseudomonas aeruginosa,PDS000169631.2,PDT002030230.1
Pseudomonas aeruginosa,PDS000169585.2,PDT002030169.1
Pseudomonas aeruginosa,PDS000169379.2,PDT002028877.1
Pseudomonas aeruginosa,PDS000169412.2,PDT002028839.1
Pseudomonas aeruginosa,PDS000169571.2,PDT002023076.1
Pseudomonas aeruginosa,PDS000169367.2,PDT002021149.1
Pseudomonas aeruginosa,PDS000169782.1,PDT002027751.1
Pseudomonas aeruginosa,PDS000169612.1,PDT002022506.1
Pseudomonas aeruginosa,PDS000169763.1,PDT002027423.1
Pseudomonas aeruginosa,PDS000169572.2,PDT002026972.1
Pseudomonas aeruginosa,PDS000169381.2,PDT002028942.1
Pseudomonas aeruginosa,PDS000169635.2,PDT002023024.1
Pseudomonas aeruginosa,PDS000169357.2,PDT002021438.1
Pseudomonas aeruginosa,PDS000169376.2,PDT002027390.1
Pseudomonas aeruginosa,PDS000169626.2,PDT002023082.1
Pseudomonas aeruginosa,PDS000169397.2,PDT002021287.1
Pseudomonas aeruginosa,PDS000169627.2,PDT002023421.1
Pseudomonas aeruginosa,PDS000010316.10,PDT001226190.4
Pseudomonas aeruginosa,PDS000171087.1,PDT002043245.1
Pseudomonas aeruginosa,PDS000182725.1,PDT002165059.1
Pseudomonas aeruginosa,PDS000182732.1,PDT002165057.1
Pseudomonas aeruginosa,PDS000101701.3,PDT001210132.1
Pseudomonas aeruginosa,PDS000063989.1,PDT000756203.1
Pseudomonas aeruginosa,PDS000163072.4,PDT002186565.1
Pseudomonas aeruginosa,PDS000134540.21,PDT001226006.1
Pseudomonas aeruginosa,PDS000076624.52,PDT001257926.3
Pseudomonas aeruginosa,PDS000140250.8,PDT001670080.3
Pseudomonas aeruginosa,PDS000179521.1,PDT001226328.4
Pseudomonas aeruginosa,PDS000061288.25,PDT001165609.3
Pseudomonas aeruginosa,PDS000101953.6,PDT000580683.1
Pseudomonas aeruginosa,PDS000148748.6,PDT000774814.3
Pseudomonas aeruginosa,PDS000066118.1,PDT000164941.1
Pseudomonas aeruginosa,PDS000092766.4,PDT001222179.1
Pseudomonas aeruginosa,PDS000047541.2,PDT000165668.1
Pseudomonas aeruginosa,PDS000010371.2,PDT000207014.1
Pseudomonas aeruginosa,PDS000066103.1,PDT000411641.1
Pseudomonas aeruginosa,PDS000133038.2,PDT001615384.1
Pseudomonas aeruginosa,PDS000012810.1,PDT000209127.1
Pseudomonas aeruginosa,PDS000064619.1,PDT000768069.1
Pseudomonas aeruginosa,PDS000026054.1,PDT000354718.1
Pseudomonas aeruginosa,PDS000010304.9,PDT000923230.1
Pseudomonas aeruginosa,PDS000167232.1,PDT001994342.1
Pseudomonas aeruginosa,PDS000167337.1,PDT001993681.1
Pseudomonas aeruginosa,PDS000078009.2,PDT002320634.1
Pseudomonas aeruginosa,PDS000077991.1,PDT000923521.1
Pseudomonas aeruginosa,PDS000077992.1,PDT000923228.1
Pseudomonas aeruginosa,PDS000167237.1,PDT001993697.1
Pseudomonas aeruginosa,PDS000167587.1,PDT001997106.1
Pseudomonas aeruginosa,PDS000167581.1,PDT001997604.1
Pseudomonas aeruginosa,PDS000167252.1,PDT001994055.1
Pseudomonas aeruginosa,PDS000167345.2,PDT001994473.1
Pseudomonas aeruginosa,PDS000167285.2,PDT001994323.1
Pseudomonas aeruginosa,PDS000010385.25,PDT000173097.1
Pseudomonas aeruginosa,PDS000090220.1,PDT001044033.1
Pseudomonas aeruginosa,PDS000092762.1,PDT001087567.1
Pseudomonas aeruginosa,PDS000019917.110,PDT001141413.1
Pseudomonas aeruginosa,PDS000123214.1,PDT000599579.1
Pseudomonas aeruginosa,PDS000053699.1,PDT000631938.1
Pseudomonas aeruginosa,PDS000140977.1,PDT001673400.2
Pseudomonas aeruginosa,PDS000107761.2,PDT001265085.1
Pseudomonas aeruginosa,PDS000066114.1,PDT000411639.1
Pseudomonas aeruginosa,PDS000063758.2,PDT000753691.1
Pseudomonas aeruginosa,PDS000063760.2,PDT000753595.1
Pseudomonas aeruginosa,PDS000075634.4,PDT000888366.1
Pseudomonas aeruginosa,PDS000095646.1,PDT001127817.1
Pseudomonas aeruginosa,PDS000112420.2,PDT001388930.1
Pseudomonas aeruginosa,PDS000096117.4,PDT002373142.1
Pseudomonas aeruginosa,PDS000010416.7,PDT002245863.1
Pseudomonas aeruginosa,PDS000141589.1,PDT001684638.1
Pseudomonas aeruginosa,PDS000141588.2,PDT001684452.1
Pseudomonas aeruginosa,PDS000103161.1,PDT001228318.1
Pseudomonas aeruginosa,PDS000112394.1,PDT001348472.1
Pseudomonas aeruginosa,PDS000100573.1,PDT001197978.1
Pseudomonas aeruginosa,PDS000115681.2,PDT001197964.1
Pseudomonas aeruginosa,PDS000111970.1,PDT001339020.1
Pseudomonas aeruginosa,PDS000093765.7,PDT002273832.1
Pseudomonas aeruginosa,PDS000112238.1,PDT001345868.1
Pseudomonas aeruginosa,PDS000112270.1,PDT001345896.1
Pseudomonas aeruginosa,PDS000112285.1,PDT001346046.1
Pseudomonas aeruginosa,PDS000118129.1,PDT001422826.1
Pseudomonas aeruginosa,PDS000040853.4,PDT000754156.1
Pseudomonas aeruginosa,PDS000112369.1,PDT001349688.1
Pseudomonas aeruginosa,PDS000112161.2,PDT001343671.1
Pseudomonas aeruginosa,PDS000112164.1,PDT001343592.1
Pseudomonas aeruginosa,PDS000054590.28,PDT001993740.1
Pseudomonas aeruginosa,PDS000147785.1,PDT001113452.1
Pseudomonas aeruginosa,PDS000094868.2,PDT001567175.1
Pseudomonas aeruginosa,PDS000134550.2,PDT001593592.1
Pseudomonas aeruginosa,PDS000164894.1,PDT001965148.1
Pseudomonas aeruginosa,PDS000117664.1,PDT001413979.1
Pseudomonas aeruginosa,PDS000117722.1,PDT001413816.1
Pseudomonas aeruginosa,PDS000117679.1,PDT001413985.1
Pseudomonas aeruginosa,PDS000174293.1,PDT002081950.2
Pseudomonas aeruginosa,PDS000174268.1,PDT002081910.2
Pseudomonas aeruginosa,PDS000163076.2,PDT001940512.1
Pseudomonas aeruginosa,PDS000138263.1,PDT001277627.1
Pseudomonas aeruginosa,PDS000155976.1,PDT001852531.1
Pseudomonas aeruginosa,PDS000155973.1,PDT001852502.1
Pseudomonas aeruginosa,PDS000047509.4,PDT000173086.1
Pseudomonas aeruginosa,PDS000157965.1,PDT001877482.1
Pseudomonas aeruginosa,PDS000178771.1,PDT002113618.1
Pseudomonas aeruginosa,PDS000192885.1,PDT002320045.1
Pseudomonas aeruginosa,PDS000192897.1,PDT002320082.1
Pseudomonas aeruginosa,PDS000047510.6,PDT000631940.1
Pseudomonas aeruginosa,PDS000055538.4,PDT000202672.2
Pseudomonas aeruginosa,PDS000192904.1,PDT002319799.1
Pseudomonas aeruginosa,PDS000192868.1,PDT002319970.1
Pseudomonas aeruginosa,PDS000192882.1,PDT002319986.1
Pseudomonas aeruginosa,PDS000145321.2,PDT002320038.1
Pseudomonas aeruginosa,PDS000192890.1,PDT002320078.1
Pseudomonas aeruginosa,PDS000192900.1,PDT002320096.1
Pseudomonas aeruginosa,PDS000190990.1,PDT002085490.1
Pseudomonas aeruginosa,PDS000172637.1,PDT002065541.1
Pseudomonas aeruginosa,PDS000171112.1,PDT002043272.1
Pseudomonas aeruginosa,PDS000188943.1,PDT002261999.1
Pseudomonas aeruginosa,PDS000185290.1,PDT002208501.1
Pseudomonas aeruginosa,PDS000185286.1,PDT002208497.1
Pseudomonas aeruginosa,PDS000112028.3,PDT002320751.1
Pseudomonas aeruginosa,PDS000189172.1,PDT002266682.1
Pseudomonas aeruginosa,PDS000199225.1,PDT002387580.1
Pseudomonas aeruginosa,PDS000188104.1,PDT002245807.1
Pseudomonas aeruginosa,PDS000190327.1,PDT002280829.1
Pseudomonas aeruginosa,PDS000189156.2,PDT002265879.1
Pseudomonas aeruginosa,PDS000064871.1,PDT000771024.1
Pseudomonas aeruginosa,PDS000101952.2,PDT001211384.1
Pseudomonas aeruginosa,PDS000063756.1,PDT000754052.1
Pseudomonas aeruginosa,PDS000047569.1,PDT000173120.1
Pseudomonas aeruginosa,PDS000064603.3,PDT000768376.1
Pseudomonas aeruginosa,PDS000101037.1,PDT001200977.1
Pseudomonas aeruginosa,PDS000101039.1,PDT001200976.1
Pseudomonas aeruginosa,PDS000010346.6,PDT001211879.1
Pseudomonas aeruginosa,PDS000052021.3,PDT000610931.1
Pseudomonas aeruginosa,PDS000075134.1,PDT000424236.1
Pseudomonas aeruginosa,PDS000047526.20,PDT001211665.1
Pseudomonas aeruginosa,PDS000040837.1,PDT000441959.1
Pseudomonas aeruginosa,PDS000124805.1,PDT001491404.1
Pseudomonas aeruginosa,PDS000064613.1,PDT000768276.1
Pseudomonas aeruginosa,PDS000051146.1,PDT000595450.1
Pseudomonas aeruginosa,PDS000051144.1,PDT000595652.1
Pseudomonas aeruginosa,PDS000064655.2,PDT000769065.1
Pseudomonas aeruginosa,PDS000101717.4,PDT001087515.1
Pseudomonas aeruginosa,PDS000113839.5,PDT001368009.1
Pseudomonas aeruginosa,PDS000064620.3,PDT000768306.1
Pseudomonas aeruginosa,PDS000160760.2,PDT002245867.1
Pseudomonas aeruginosa,PDS000169406.2,PDT002029002.1
Pseudomonas aeruginosa,PDS000169628.2,PDT002023364.1
Pseudomonas aeruginosa,PDS000169553.2,PDT002023427.1
Pseudomonas aeruginosa,PDS000169405.2,PDT002027574.1
Pseudomonas aeruginosa,PDS000169349.2,PDT002027723.1
