scientific_name,erd_group,target_acc,asm_acc
Enterococcus faecium,PDS000059002.4,PDT000500200.2,GCA_005235305.1
Enterococcus faecium,PDS000059403.2,PDT000701015.1,GCA_015446605.1
Enterococcus faecium,PDS000059637.4,PDT000701860.1,
Enterococcus faecium,PDS000161110.2,PDT000698632.1,
Enterococcus faecium,PDS000084067.12,PDT000694773.1,
Enterococcus faecium,PDS000098950.4,PDT002258312.1,
Enterococcus faecium,PDS000059090.13,PDT000695136.1,
Enterococcus faecium,PDS000171880.1,PDT000694110.1,
Enterococcus faecium,PDS000172058.1,PDT000694342.1,
Enterococcus faecium,PDS000171878.1,PDT000694131.1,
Enterococcus faecium,PDS000102461.17,PDT001218136.1,GCA_021418965.1
Enterococcus faecium,PDS000193450.6,PDT000996713.1,GCA_017702905.1
Enterococcus faecium,PDS000161394.1,PDT001913162.1,GCA_032368445.1
Enterococcus faecium,PDS000059183.3,PDT000694618.1,
Enterococcus faecium,PDS000059215.3,PDT000694720.1,
Enterococcus faecium,PDS000059633.6,PDT000694835.1,
Enterococcus faecium,PDS000059185.3,PDT000694746.1,
Enterococcus faecium,PDS000059656.4,PDT000861228.1,
Enterococcus faecium,PDS000159754.5,PDT000860962.1,
Enterococcus faecium,PDS000073545.1,PDT000696696.1,
Enterococcus faecium,PDS000059218.17,PDT000695626.1,
Enterococcus faecium,PDS000059247.3,PDT000699198.1,
Enterococcus faecium,PDS000059276.10,PDT000695803.1,
Enterococcus faecium,PDS000059288.8,PDT000698681.1,
Enterococcus faecium,PDS000117139.1,PDT000696222.1,
Enterococcus faecium,PDS000070710.2,PDT000826535.2,GCA_014325925.1
Enterococcus faecium,PDS000101645.20,PDT001567816.1,GCA_028073275.1
Enterococcus faecium,PDS000117138.21,PDT000743902.1,
Enterococcus faecium,PDS000059239.4,PDT000697040.1,
Enterococcus faecium,PDS000059031.54,PDT001531997.1,GCA_026953125.1
Enterococcus faecium,PDS000171921.1,PDT000697347.1,
Enterococcus faecium,PDS000059238.3,PDT000697911.1,
Enterococcus faecium,PDS000059242.3,PDT000697541.1,
Enterococcus faecium,PDS000059655.1,PDT000697796.1,
Enterococcus faecium,PDS000062995.22,PDT001316692.1,GCA_023589405.1
Enterococcus faecium,PDS000170774.9,PDT001896493.1,
Enterococcus faecium,PDS000059423.2,PDT000697907.1,
Enterococcus faecium,PDS000059044.3,PDT000697432.1,
Enterococcus faecium,PDS000059643.2,PDT000697115.1,
Enterococcus faecium,PDS000059408.2,PDT000696880.1,
Enterococcus faecium,PDS000171955.1,PDT000698002.1,
Enterococcus faecium,PDS000115710.1,PDT001389149.1,
Enterococcus faecium,PDS000115376.1,PDT000889457.1,
Enterococcus faecium,PDS000059279.51,PDT001361007.1,GCA_024315815.1
Enterococcus faecium,PDS000059310.32,PDT000700116.1,GCA_015458565.1
Enterococcus faecium,PDS000193869.5,PDT002287792.1,
Enterococcus faecium,PDS000059334.5,PDT000699755.1,GCA_015465505.1
Enterococcus faecium,PDS000059337.17,PDT000700118.1,GCA_015458585.1
Enterococcus faecium,PDS000059618.4,PDT001914180.1,
Enterococcus faecium,PDS000117140.9,PDT000968380.1,GCA_016980715.1
Enterococcus faecium,PDS000190845.9,PDT000748735.1,
Enterococcus faecium,PDS000059070.18,PDT001813764.1,GCA_030943905.1
Enterococcus faecium,PDS000078565.1,PDT000927875.1,
Enterococcus faecium,PDS000100051.2,PDT001194994.1,
Enterococcus faecium,PDS000172568.1,PDT001637967.1,GCA_028771625.1
Enterococcus faecium,PDS000059459.9,PDT001914179.1,
Enterococcus faecium,PDS000190836.9,PDT000968362.1,GCA_016980935.1
Enterococcus faecium,PDS000190817.2,PDT002287764.1,
Enterococcus faecium,PDS000100076.1,PDT001189635.1,GCA_021040185.1
Enterococcus faecium,PDS000082279.13,PDT002288204.1,
Enterococcus faecium,PDS000193447.6,PDT002290498.1,
Enterococcus faecium,PDS000105705.4,PDT001952988.1,GCA_032953755.1
Enterococcus faecium,PDS000084057.11,PDT001076774.1,GCA_019035325.1
Enterococcus faecium,PDS000190848.2,PDT001874472.1,
Enterococcus faecium,PDS000188752.3,PDT001176878.1,GCA_020923635.1
Enterococcus faecium,PDS000180886.1,PDT002024284.1,GCA_034308585.1
Enterococcus faecium,PDS000059109.1,PDT000106061.2,GCA_001547255.1
Enterococcus faecium,PDS000078641.22,PDT000928657.1,GCA_016484285.1
Enterococcus faecium,PDS000077224.2,PDT000740884.1,GCA_015396125.1
Enterococcus faecium,PDS000095078.5,PDT000702024.1,
Enterococcus faecium,PDS000164995.1,PDT001967411.1,GCA_033274025.1
Enterococcus faecium,PDS000157367.6,PDT001952821.1,GCA_032948615.1
Enterococcus faecium,PDS000059149.11,PDT000907317.1,GCA_015774285.1
Enterococcus faecium,PDS000058942.8,PDT000730306.1,GCA_012952285.1
Enterococcus faecium,PDS000078235.2,PDT000924175.1,GCA_016399525.1
Enterococcus faecium,PDS000061362.3,PDT000929480.1,GCA_016533315.1
Enterococcus faecium,PDS000058928.4,PDT002267806.1,
Enterococcus faecium,PDS000169674.3,PDT002268009.1,
Enterococcus faecium,PDS000058949.5,PDT000929373.1,GCA_016526935.1
Enterococcus faecium,PDS000077225.2,PDT000924119.1,GCA_016398325.1
Enterococcus faecium,PDS000058965.10,PDT000913237.1,GCA_015996385.1
Enterococcus faecium,PDS000061374.9,PDT000907168.1,GCA_015771205.1
Enterococcus faecium,PDS000189342.1,PDT002267800.1,
Enterococcus faecium,PDS000058969.17,PDT000907070.1,GCA_015769225.1
Enterococcus faecium,PDS000061380.3,PDT000929389.1,GCA_016531065.1
Enterococcus faecium,PDS000059005.1,PDT000475999.2,GCA_004328245.1
Enterococcus faecium,PDS000059132.1,PDT000667625.2,GCA_009897565.1
Enterococcus faecium,PDS000059130.2,PDT000705435.1,GCA_015402565.1
Enterococcus faecium,PDS000193871.3,PDT001531882.1,GCA_026946665.1
Enterococcus faecium,PDS000062999.8,PDT000820222.1,GCA_015358335.1
Enterococcus faecium,PDS000122166.2,PDT000741722.1,GCA_015391245.1
Enterococcus faecium,PDS000171797.1,PDT000742995.1,GCA_015367885.1
Enterococcus faecium,PDS000059225.15,PDT000704516.1,GCA_015405605.1
Enterococcus faecium,PDS000077089.8,PDT001326204.1,GCA_023779985.1
Enterococcus faecium,PDS000063021.3,PDT000820212.1,GCA_015358455.1
Enterococcus faecium,PDS000070244.1,PDT000820141.1,GCA_015359955.1
Enterococcus faecium,PDS000063006.12,PDT001360977.1,GCA_024316395.1
Enterococcus faecium,PDS000105704.2,PDT000741167.1,
Enterococcus faecium,PDS000082456.1,PDT000976373.1,GCA_017262555.1
Enterococcus faecium,PDS000171872.1,PDT000976619.2,
Enterococcus faecium,PDS000082466.1,PDT000976461.1,GCA_017260935.1
Enterococcus faecium,PDS000076256.3,PDT001139204.1,GCA_020162975.1
Enterococcus faecium,PDS000105708.2,PDT001256688.1,GCA_022414265.1
Enterococcus faecium,PDS000084068.11,PDT002289962.1,
Enterococcus faecium,PDS000090576.2,PDT002343509.1,GCA_964234355.1
Enterococcus faecium,PDS000102060.1,PDT001213788.1,GCA_021322855.1
Enterococcus faecium,PDS000059181.18,PDT001213635.1,GCA_021321875.1
Enterococcus faecium,PDS000100064.11,PDT002332628.1,
Enterococcus faecium,PDS000102091.4,PDT001213518.1,GCA_021321775.1
Enterococcus faecium,PDS000102071.1,PDT001213394.1,GCA_021335175.1
Enterococcus faecium,PDS000059309.14,PDT000748594.1,
Enterococcus faecium,PDS000059588.5,PDT000704973.1,GCA_015404905.1
Enterococcus faecium,PDS000179671.4,PDT000705285.1,GCA_015403125.1
Enterococcus faecium,PDS000098974.2,PDT002258195.1,
Enterococcus faecium,PDS000119794.14,PDT000741260.1,
Enterococcus faecium,PDS000188733.1,PDT001177243.1,GCA_020932445.1
Enterococcus faecium,PDS000098983.3,PDT002258154.1,
Enterococcus faecium,PDS000059702.4,PDT002257950.1,
Enterococcus faecium,PDS000098975.2,PDT001176138.1,
Enterococcus faecium,PDS000098963.2,PDT001176626.1,GCA_020928415.1
Enterococcus faecium,PDS000105921.2,PDT001259154.1,GCA_022469215.1
Enterococcus faecium,PDS000097958.1,PDT001163051.1,GCA_020748705.1
Enterococcus faecium,PDS000097980.1,PDT001163141.1,
Enterococcus faecium,PDS000190804.2,PDT000865863.1,GCA_015341685.1
Enterococcus faecium,PDS000098584.2,PDT002290168.1,
Enterococcus faecium,PDS000104248.2,PDT001242189.1,GCA_022045945.1
Enterococcus faecium,PDS000062997.4,PDT000741763.1,GCA_015390505.1
Enterococcus faecium,PDS000171796.2,PDT001473927.1,GCA_025985765.1
Enterococcus faecium,PDS000107745.5,PDT001283387.1,GCA_022922595.1
Enterococcus faecium,PDS000148384.1,PDT001772113.1,GCA_030179215.1
Enterococcus faecium,PDS000113806.3,PDT001361076.1,GCA_024314155.1
Enterococcus faecium,PDS000062991.5,PDT001473855.1,GCA_025987005.1
Enterococcus faecium,PDS000122162.3,PDT001474009.3,GCA_028163825.1
