target_acc,asm_acc
PDT002391506.1,
PDT000662866.1,GCA_902507485.1
PDT000683335.1,GCA_010374885.1
PDT000683331.1,GCA_010374745.1
PDT001769437.1,GCA_947577115.1
PDT001356570.1,GCA_024197675.1
PDT001618119.1,GCA_028654975.1
PDT001878342.1,GCA_031318115.1
PDT001878381.1,GCA_031318885.1
PDT000609864.1,
PDT000304394.1,GCA_003034525.1
PDT002391499.1,
PDT000744643.1,GCA_013134315.1
PDT001363325.1,
PDT000411420.1,GCA_900608275.1
PDT000870343.2,GCA_022056405.1
PDT001191289.1,
PDT002343390.1,GCA_964214275.1
PDT000917936.1,GCA_016107385.1
PDT001101079.1,GCA_019444635.1
PDT002045088.1,GCA_035016945.1
PDT002388907.1,GCA_042146055.1
PDT001820668.1,
PDT002102085.1,GCA_037052205.1
PDT002031696.1,GCA_034394975.1
PDT001287245.1,GCA_022997905.1
PDT000886465.1,
PDT001876220.2,GCA_031211945.2
PDT000633139.1,
PDT001193080.1,
PDT001873361.1,GCA_031181425.1
PDT001265474.1,
PDT002391443.1,
PDT001823774.2,GCA_031014525.2
PDT002392258.1,GCA_039653425.2
PDT001873487.1,GCA_031174945.1
PDT000833734.2,GCA_014490685.2
PDT000675140.1,
PDT002390401.1,
PDT000877858.1,
PDT000210736.1,GCA_002152405.1
PDT002391450.1,
PDT002391467.1,
PDT002391484.1,
PDT000645456.2,GCA_009746145.1
PDT002017363.1,GCA_034081345.1
PDT001365686.1,GCA_024359765.1
PDT001769557.1,GCA_947576475.1
PDT001861677.1,GCA_956476195.1
PDT000716571.1,GCA_022186225.1
PDT000633095.1,
PDT000746640.1,
PDT000745775.1,
PDT001289667.1,GCA_023024225.1
PDT002391349.1,
PDT002391462.1,
PDT002260637.1,GCA_040783555.1
PDT002067753.1,GCA_036468735.1
PDT001227646.1,GCA_021787745.1
PDT002391492.1,
PDT001878361.1,GCA_031318475.1
PDT000370620.1,GCA_900507875.1
PDT002390236.1,
PDT002164878.1,GCA_039638615.1
PDT002391719.1,
PDT002391434.1,
PDT002391425.1,
PDT002390442.1,
PDT002391346.1,
PDT000431437.1,GCA_022284925.1
PDT000837993.1,GCA_014596045.1
PDT001352187.1,GCA_024128745.1
PDT001739632.2,GCA_031047435.2
PDT001878324.1,GCA_031317725.1
PDT002178411.1,GCA_039846185.1
PDT000369116.1,GCA_900511705.1
