scientific_name,erd_group,target_acc,asm_acc
Pseudomonas aeruginosa,PDS000093297.25,PDT002391865.1,
Pseudomonas aeruginosa,PDS000040829.32,PDT001414075.1,GCA_025132055.1
Pseudomonas aeruginosa,PDS000199414.2,PDT002391693.1,
Pseudomonas aeruginosa,PDS000199410.1,PDT002391710.1,
Pseudomonas aeruginosa,PDS000076624.52,PDT002386239.1,GCA_042184405.1
Pseudomonas aeruginosa,PDS000199413.1,PDT002391620.1,
Pseudomonas aeruginosa,PDS000101952.2,PDT001211472.1,GCA_021594105.1
Pseudomonas aeruginosa,PDS000112356.12,PDT000754102.1,GCA_021687455.1
Pseudomonas aeruginosa,PDS000063743.1,PDT000754198.1,GCA_021685095.1
Pseudomonas aeruginosa,PDS000063981.3,PDT000756491.1,
Pseudomonas aeruginosa,PDS000010342.10,PDT000173012.1,GCA_900146425.1
Pseudomonas aeruginosa,PDS000010319.10,PDT002066857.1,GCA_036237055.1
Pseudomonas aeruginosa,PDS000047569.1,PDT000173122.1,GCA_900147405.1
Pseudomonas aeruginosa,PDS000010326.1,PDT000174698.1,GCA_900147505.1
Pseudomonas aeruginosa,PDS000063871.3,PDT000755587.1,
Pseudomonas aeruginosa,PDS000112090.130,PDT001828986.2,GCA_031787935.1
Pseudomonas aeruginosa,PDS000171016.1,PDT002042813.1,GCA_034813965.1
Pseudomonas aeruginosa,PDS000171021.1,PDT002042969.1,GCA_034810805.1
Pseudomonas aeruginosa,PDS000171014.1,PDT002042871.1,GCA_034812785.1
Pseudomonas aeruginosa,PDS000052021.3,PDT000610934.1,GCA_900106205.1
Pseudomonas aeruginosa,PDS000039609.3,PDT000424299.1,GCA_021709415.1
Pseudomonas aeruginosa,PDS000052679.15,PDT000632727.1,
Pseudomonas aeruginosa,PDS000053765.2,PDT000632799.1,
Pseudomonas aeruginosa,PDS000053766.39,PDT001961392.2,GCA_033186895.2
Pseudomonas aeruginosa,PDS000064031.9,PDT001368629.1,
Pseudomonas aeruginosa,PDS000100301.1,PDT000883203.1,
Pseudomonas aeruginosa,PDS000075145.1,PDT000880307.1,
Pseudomonas aeruginosa,PDS000075147.2,PDT000880205.1,
Pseudomonas aeruginosa,PDS000039604.2,PDT000424275.1,GCA_021710095.1
Pseudomonas aeruginosa,PDS000122259.1,PDT001191574.2,
Pseudomonas aeruginosa,PDS000064610.2,PDT001902608.1,GCA_032033595.1
Pseudomonas aeruginosa,PDS000051148.1,PDT000595656.1,GCA_902204135.1
Pseudomonas aeruginosa,PDS000051139.1,PDT000595558.1,GCA_902202975.1
Pseudomonas aeruginosa,PDS000115685.1,PDT001388221.1,GCA_025005725.1
Pseudomonas aeruginosa,PDS000113741.4,PDT001365335.1,GCA_024372435.1
Pseudomonas aeruginosa,PDS000113839.5,PDT001364805.1,GCA_024355565.1
Pseudomonas aeruginosa,PDS000125932.1,PDT001505118.1,GCA_026534815.1
Pseudomonas aeruginosa,PDS000124896.1,PDT001495306.1,GCA_026318745.1
Pseudomonas aeruginosa,PDS000063724.6,PDT000753335.1,GCA_021701615.1
Pseudomonas aeruginosa,PDS000146232.2,PDT001737656.1,GCA_950101575.1
Pseudomonas aeruginosa,PDS000160761.1,PDT001902594.1,GCA_032028405.1
Pseudomonas aeruginosa,PDS000051135.66,PDT001551426.1,GCA_027495545.1
Pseudomonas aeruginosa,PDS000169401.2,PDT002021417.1,GCA_963429345.1
Pseudomonas aeruginosa,PDS000169393.2,PDT002028920.1,GCA_963453175.1
Pseudomonas aeruginosa,PDS000169594.1,PDT002023680.1,GCA_963439125.1
Pseudomonas aeruginosa,PDS000169566.2,PDT002030117.1,GCA_963443675.1
Pseudomonas aeruginosa,PDS000169587.2,PDT002023220.1,GCA_963434815.1
Pseudomonas aeruginosa,PDS000169617.2,PDT002030059.1,GCA_963442405.1
Pseudomonas aeruginosa,PDS000169371.2,PDT002021321.1,GCA_963436795.1
Pseudomonas aeruginosa,PDS000169558.2,PDT002030167.1,GCA_963433135.1
Pseudomonas aeruginosa,PDS000169391.2,PDT002021215.1,GCA_963427655.1
Pseudomonas aeruginosa,PDS000169769.1,PDT002026914.1,GCA_963449125.1
Pseudomonas aeruginosa,PDS000169384.2,PDT002021080.1,GCA_963427545.1
Pseudomonas aeruginosa,PDS000169592.2,PDT002030083.1,GCA_963437805.1
Pseudomonas aeruginosa,PDS000169564.1,PDT002023541.1,GCA_963450125.1
Pseudomonas aeruginosa,PDS000169381.2,PDT002028941.1,GCA_963453745.1
Pseudomonas aeruginosa,PDS000169626.2,PDT002026951.1,GCA_963449825.1
Pseudomonas aeruginosa,PDS000169633.1,PDT002022905.1,GCA_963444555.1
Pseudomonas aeruginosa,PDS000169588.2,PDT002026828.1,GCA_963428885.1
Pseudomonas aeruginosa,PDS000169408.2,PDT002027433.1,GCA_963428475.1
Pseudomonas aeruginosa,PDS000169557.3,PDT002023318.1,GCA_963444735.1
Pseudomonas aeruginosa,PDS000182526.1,PDT002164286.1,
Pseudomonas aeruginosa,PDS000182649.1,PDT000045327.1,GCA_000794085.1
Pseudomonas aeruginosa,PDS000182460.1,PDT000045281.1,GCA_000793165.1
Pseudomonas aeruginosa,PDS000010363.2,PDT000045218.1,GCA_000791905.1
Pseudomonas aeruginosa,PDS000182634.1,PDT000045223.1,GCA_000792005.1
Pseudomonas aeruginosa,PDS000168915.2,PDT002043180.1,
Pseudomonas aeruginosa,PDS000194003.1,PDT002333053.1,
Pseudomonas aeruginosa,PDS000190068.1,PDT002280205.1,GCA_964207955.1
Pseudomonas aeruginosa,PDS000047516.1,PDT000424955.1,GCA_003968235.1
Pseudomonas aeruginosa,PDS000102762.2,PDT000045128.1,GCA_000790105.1
Pseudomonas aeruginosa,PDS000010367.2,PDT002164269.1,
Pseudomonas aeruginosa,PDS000182493.1,PDT000045216.1,GCA_000791855.1
Pseudomonas aeruginosa,PDS000182595.1,PDT000045103.1,GCA_000789605.1
Pseudomonas aeruginosa,PDS000010432.11,PDT000068277.1,GCA_001037055.1
Pseudomonas aeruginosa,PDS000010406.24,PDT002113581.1,GCA_037163425.1
Pseudomonas aeruginosa,PDS000173166.5,PDT001001321.3,GCA_021663415.3
Pseudomonas aeruginosa,PDS000135146.10,PDT002113726.1,GCA_037209095.1
Pseudomonas aeruginosa,PDS000019917.110,PDT000923145.1,
Pseudomonas aeruginosa,PDS000174989.1,PDT002089328.1,GCA_036890765.1
Pseudomonas aeruginosa,PDS000075445.161,PDT001600918.3,GCA_028433585.3
Pseudomonas aeruginosa,PDS000010407.17,PDT001226014.4,
Pseudomonas aeruginosa,PDS000066144.26,PDT000797955.4,
Pseudomonas aeruginosa,PDS000144628.5,PDT001175380.1,GCA_021614695.1
Pseudomonas aeruginosa,PDS000161663.8,PDT002066695.1,GCA_036248885.1
Pseudomonas aeruginosa,PDS000179489.2,PDT001203195.4,
Pseudomonas aeruginosa,PDS000149161.5,PDT001810521.2,GCA_032641525.2
Pseudomonas aeruginosa,PDS000179488.1,PDT001226217.4,
Pseudomonas aeruginosa,PDS000145473.1,PDT001094429.1,GCA_021646025.1
Pseudomonas aeruginosa,PDS000130325.9,PDT002181262.1,GCA_039949715.1
Pseudomonas aeruginosa,PDS000161093.2,PDT001908032.2,GCA_032184125.2
Pseudomonas aeruginosa,PDS000015376.37,PDT001344215.1,GCA_023947515.1
Pseudomonas aeruginosa,PDS000014064.80,PDT001730328.1,GCA_025580225.2
Pseudomonas aeruginosa,PDS000159180.4,PDT001889658.2,GCA_031657815.2
Pseudomonas aeruginosa,PDS000092766.4,PDT001087483.1,GCA_021660675.1
Pseudomonas aeruginosa,PDS000010361.6,PDT001672353.1,GCA_029500255.1
Pseudomonas aeruginosa,PDS000055982.2,PDT000270591.3,GCA_002812925.3
Pseudomonas aeruginosa,PDS000047940.58,PDT000540629.1,
Pseudomonas aeruginosa,PDS000134577.3,PDT001593434.1,
Pseudomonas aeruginosa,PDS000167241.1,PDT001993982.1,GCA_033872735.1
Pseudomonas aeruginosa,PDS000167231.1,PDT001451106.1,GCA_025661535.1
Pseudomonas aeruginosa,PDS000167307.1,PDT001993822.1,GCA_033875095.1
Pseudomonas aeruginosa,PDS000078017.3,PDT002320659.1,
Pseudomonas aeruginosa,PDS000167351.2,PDT001994017.1,GCA_033872455.1
Pseudomonas aeruginosa,PDS000167321.2,PDT001994232.1,GCA_033888945.1
Pseudomonas aeruginosa,PDS000167341.2,PDT001994335.1,GCA_033886985.1
Pseudomonas aeruginosa,PDS000167300.1,PDT001994087.1,GCA_033891725.1
Pseudomonas aeruginosa,PDS000167589.1,PDT001997333.1,GCA_033933225.1
Pseudomonas aeruginosa,PDS000171221.3,PDT002045336.1,GCA_035008165.1
Pseudomonas aeruginosa,PDS000167343.1,PDT001994098.1,GCA_033891525.1
Pseudomonas aeruginosa,PDS000167304.1,PDT001994137.1,GCA_033890865.1
Pseudomonas aeruginosa,PDS000167254.2,PDT001994226.1,GCA_033889105.1
Pseudomonas aeruginosa,PDS000077563.2,PDT000915599.1,GCA_016009985.1
Pseudomonas aeruginosa,PDS000112152.1,PDT000915676.1,GCA_016011535.1
Pseudomonas aeruginosa,PDS000012474.54,PDT001683978.1,GCA_029637465.1
Pseudomonas aeruginosa,PDS000112291.2,PDT002299626.1,GCA_041060385.1
Pseudomonas aeruginosa,PDS000112302.1,PDT001346476.1,GCA_023917385.1
Pseudomonas aeruginosa,PDS000047508.47,PDT001413725.1,GCA_025122735.1
Pseudomonas aeruginosa,PDS000063735.19,PDT002159692.1,GCA_039570905.1
Pseudomonas aeruginosa,PDS000112177.1,PDT001346885.1,GCA_023908345.1
Pseudomonas aeruginosa,PDS000046192.1,PDT000510525.1,GCA_005863995.1
Pseudomonas aeruginosa,PDS000054059.2,PDT000411596.1,GCA_003834665.1
Pseudomonas aeruginosa,PDS000120634.1,PDT001277646.1,GCA_022807805.1
Pseudomonas aeruginosa,PDS000063726.2,PDT000753498.1,GCA_021696415.1
Pseudomonas aeruginosa,PDS000063374.1,PDT000749080.1,GCA_013177065.1
Pseudomonas aeruginosa,PDS000054886.88,PDT000725230.3,GCA_021706035.3
Pseudomonas aeruginosa,PDS000114938.1,PDT001363066.1,GCA_024319555.1
Pseudomonas aeruginosa,PDS000051143.2,PDT000595473.1,GCA_902202135.1
Pseudomonas aeruginosa,PDS000095640.35,PDT001792746.1,GCA_030366635.1
Pseudomonas aeruginosa,PDS000094048.2,PDT001055947.3,GCA_018598285.3
Pseudomonas aeruginosa,PDS000083739.1,PDT000992437.2,GCA_017592315.1
Pseudomonas aeruginosa,PDS000010416.7,PDT002245861.1,
Pseudomonas aeruginosa,PDS000112104.4,PDT002266705.1,GCA_040886165.1
Pseudomonas aeruginosa,PDS000141590.2,PDT001684438.1,GCA_029631845.1
Pseudomonas aeruginosa,PDS000141588.2,PDT001684377.1,GCA_029632325.1
Pseudomonas aeruginosa,PDS000063733.18,PDT000759652.1,
Pseudomonas aeruginosa,PDS000097950.10,PDT001163785.1,GCA_020640475.1
Pseudomonas aeruginosa,PDS000101975.1,PDT001211804.1,
Pseudomonas aeruginosa,PDS000010307.71,PDT001350928.1,GCA_024107015.1
Pseudomonas aeruginosa,PDS000112283.1,PDT001346012.1,GCA_023938145.1
Pseudomonas aeruginosa,PDS000112276.1,PDT001345911.1,GCA_023923645.1
Pseudomonas aeruginosa,PDS000047532.14,PDT001210168.1,GCA_021597945.1
Pseudomonas aeruginosa,PDS000118130.3,PDT001422851.1,GCA_025236265.1
Pseudomonas aeruginosa,PDS000010360.25,PDT000172977.1,GCA_900146115.1
Pseudomonas aeruginosa,PDS000141399.1,PDT001682388.1,GCA_029603565.1
Pseudomonas aeruginosa,PDS000051138.10,PDT000595600.1,GCA_902203475.1
Pseudomonas aeruginosa,PDS000178039.1,PDT002110220.1,GCA_037104505.1
Pseudomonas aeruginosa,PDS000111972.4,PDT001471834.3,GCA_025933235.3
Pseudomonas aeruginosa,PDS000112362.1,PDT001349789.1,GCA_023933785.1
Pseudomonas aeruginosa,PDS000140835.1,PDT001676040.1,GCA_029520595.1
Pseudomonas aeruginosa,PDS000112109.7,PDT001726101.1,GCA_029954275.1
Pseudomonas aeruginosa,PDS000039614.5,PDT001395190.2,GCA_024715315.1
Pseudomonas aeruginosa,PDS000134543.2,PDT001593536.1,
Pseudomonas aeruginosa,PDS000134567.2,PDT001593612.1,
Pseudomonas aeruginosa,PDS000120640.1,PDT000174655.1,GCA_001909645.1
Pseudomonas aeruginosa,PDS000121418.1,PDT001465193.1,GCA_025798765.1
Pseudomonas aeruginosa,PDS000054590.28,PDT000311291.1,GCA_003073735.1
Pseudomonas aeruginosa,PDS000171787.1,PDT002054310.1,
Pseudomonas aeruginosa,PDS000155976.1,PDT001852531.1,GCA_030738695.1
Pseudomonas aeruginosa,PDS000063216.14,PDT001730411.1,GCA_029989975.1
Pseudomonas aeruginosa,PDS000145591.2,PDT001727373.1,GCA_029954675.1
Pseudomonas aeruginosa,PDS000154750.3,PDT001898034.1,GCA_031850155.1
Pseudomonas aeruginosa,PDS000157973.1,PDT001877483.1,GCA_031209845.1
Pseudomonas aeruginosa,PDS000064877.3,PDT000771149.1,GCA_021673015.1
Pseudomonas aeruginosa,PDS000161870.1,PDT001925375.1,GCA_032469315.1
Pseudomonas aeruginosa,PDS000166899.2,PDT002081852.2,GCA_036663955.1
Pseudomonas aeruginosa,PDS000184251.4,PDT002345021.1,GCA_041681785.1
Pseudomonas aeruginosa,PDS000171783.1,PDT002055276.1,GCA_035727965.1
Pseudomonas aeruginosa,PDS000012379.4,PDT000202625.2,
Pseudomonas aeruginosa,PDS000192874.1,PDT002319881.1,
Pseudomonas aeruginosa,PDS000174617.2,PDT002085507.1,GCA_036763955.1
Pseudomonas aeruginosa,PDS000171112.1,PDT002043283.1,GCA_034837455.1
Pseudomonas aeruginosa,PDS000112035.8,PDT001894069.1,GCA_031733695.1
Pseudomonas aeruginosa,PDS000173712.1,PDT002076264.1,GCA_036542025.1
Pseudomonas aeruginosa,PDS000112093.3,PDT002098938.1,GCA_037001805.1
Pseudomonas aeruginosa,PDS000023156.2,PDT002148619.1,GCA_038593905.1
Pseudomonas aeruginosa,PDS000181804.1,PDT002155816.1,GCA_039413135.1
Pseudomonas aeruginosa,PDS000199224.1,PDT002387566.1,
Pseudomonas aeruginosa,PDS000189177.1,PDT002264578.1,
Pseudomonas aeruginosa,PDS000107996.2,PDT001286251.1,GCA_022996865.1
Pseudomonas aeruginosa,PDS000189903.2,PDT002280944.1,
Pseudomonas aeruginosa,PDS000189149.2,PDT002280804.1,
